home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
Santos FC Sao Paulo,Fortaleza EC,0,2,13 de novembro de 2022 16:00,Vila Belmiro,11.565,Wagner do Nascimento Magalhaes,"[{""player"": ""Rodrigo Fern\u00e1ndez Cedr\u00e9s"", ""minute"": ""57'""}]",[],[],"[{""player"": ""Jos\u00e9 Welison da Silva"", ""minute"": ""48'""}, {""player"": ""Cristian Chagas Tarouco"", ""minute"": ""59'""}, {""player"": ""Caio Alexandre Souza e Silva"", ""minute"": ""86'""}]",[],"[{""player"": ""Thiago Galhardo do Nascimento Rocha"", ""minute"": ""66'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Mois\u00e9s Vieira da Veiga"", ""minute"": ""80'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3wxhpazsa97cjddt053ywg1zo
SC Internacional,SE Palmeiras,3,0,13 de novembro de 2022 16:00,Beira-Rio,32.999,Bruno Arleu de Araújo,"[{""player"": ""Alexandre Zurawski"", ""minute"": ""33'""}, {""player"": ""Lucas de Ramos Silveira"", ""minute"": ""80'""}]",[],"[{""player"": ""Maur\u00edcio Magalh\u00e3es Prado"", ""minute"": ""10'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Alexandre Zurawski"", ""minute"": ""39'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Braian Ezequiel Romero"", ""minute"": ""85'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Eduard Andr\u00e9s Atuesta Velasco"", ""minute"": ""23'""}, {""player"": ""Endrick Felipe Moreira de Sousa"", ""minute"": ""49'""}, {""player"": ""Jos\u00e9 Manuel Alberto L\u00f3pez"", ""minute"": ""88'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3x3aboz3e1u19kv4356tj29zo
Goiás EC,São Paulo FC,0,4,13 de novembro de 2022 16:00,Estádio Hailé Pinheiro (Serrinha),13.927,Marcelo de Lima Henrique,"[{""player"": ""Magno Jos\u00e9 da Silva"", ""minute"": ""40'""}, {""player"": ""Auremir Evangelista dos Santos"", ""minute"": ""64'""}]",[],[],"[{""player"": ""Giuliano Galoppo"", ""minute"": ""69'""}]",[],"[{""player"": ""Giuliano Galoppo"", ""minute"": ""20'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luciano da Rocha Neves"", ""minute"": ""71'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Marcos Guilherme de Almeida Santos Matos"", ""minute"": ""77'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Juan Santos da Silva"", ""minute"": ""90+1'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3xaaf7ek4mnvqrrtjhtp6md5g
Cuiabá EC,Coritiba FBC,2,1,13 de novembro de 2022 16:00,Arena Pantanal,18.254,Flavio Rodrigues De Souza,"[{""player"": ""Andr\u00e9 Lu\u00eds da Costa Alfredo"", ""minute"": ""59'""}]",[],"[{""player"": ""Alan Pereira Empereur"", ""minute"": ""37'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jonathan Renato Barbosa"", ""minute"": ""44'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Fabr\u00edcio Daniel de Souza"", ""minute"": ""11'""}, {""player"": ""Jes\u00fas Emiliano Trindade Flores"", ""minute"": ""24'""}, {""player"": ""Alef Mangueira Severino Pereira"", ""minute"": ""47'""}, {""player"": ""Willian Roberto de Farias"", ""minute"": ""80'""}]",[],"[{""player"": ""Leonardo Gamalho de Souza"", ""minute"": ""76'"", ""cont"": 0, ""penal"": 0}]",[],"[{""player"": ""Alef Mangueira Severino Pereira"", ""minute"": ""48'""}]",https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3xdrhyo8c288s525564zs70gk
SC Corinthians Paulista,Clube Atlético Mineiro,0,1,13 de novembro de 2022 16:00,Neo Química Arena,43.414,Braulio da Silva Machado,"[{""player"": ""F\u00e1bio Santos Romeu"", ""minute"": ""44'""}, {""player"": ""Maycon de Andrade Barberan"", ""minute"": ""52'""}, {""player"": ""R\u00f3ger Krug Guedes"", ""minute"": ""62'""}]",[],[],"[{""player"": ""Federico Mat\u00edas Zaracho"", ""minute"": ""38'""}, {""player"": ""Jemerson de Jesus Nascimento"", ""minute"": ""45+2'""}, {""player"": ""Everson Felipe Marques Pires"", ""minute"": ""45+3'""}, {""player"": ""Allan Rodrigues de Souza"", ""minute"": ""48'""}, {""player"": ""Ignacio Mart\u00edn Fern\u00e1ndez"", ""minute"": ""68'""}, {""player"": ""Eduardo Jes\u00fas Vargas Rojas"", ""minute"": ""81'""}]",[],"[{""player"": ""Eduardo Jes\u00fas Vargas Rojas"", ""minute"": ""45'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3wtfztk17mgd0ne5lrl4x4ro4
Ceará SC,EC Juventude,4,1,13 de novembro de 2022 16:00,Castelão,No data,Paulo Henrique Schleinch Vollkopf,"[{""player"": ""Richardson Fernandes dos Santos"", ""minute"": ""27'""}, {""player"": ""Marcos Victor Ferreira da Silva"", ""minute"": ""28'""}, {""player"": ""Cl\u00e9ber Bomfim de Jesus"", ""minute"": ""57'""}, {""player"": ""Erick de Arruda Serafim"", ""minute"": ""83'""}]",[],"[{""player"": ""Cl\u00e9ber Bomfim de Jesus"", ""minute"": ""23'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Vitor Mendes Alves"", ""minute"": ""45+2'"", ""cont"": 1, ""penal"": 0}, {""player"": ""Fernando Pereira do Nascimento"", ""minute"": ""70'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Erick de Arruda Serafim"", ""minute"": ""89'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Luis Felipe Rabelo Costa"", ""minute"": ""25'""}, {""player"": ""Onitlasi J\u00fanior de Moraes Rodrigues"", ""minute"": ""74'""}, {""player"": ""Guilherme Parede Pinheiro"", ""minute"": ""74'""}, {""player"": ""Lucas Pereira Ramires Constante"", ""minute"": ""88'""}]",[],"[{""player"": ""Guilherme Parede Pinheiro"", ""minute"": ""52'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3x6ooge7530tqpojqmaiagm50
Red Bull Bragantino,Fluminense FC,0,1,13 de novembro de 2022 16:00,Nabizão,4.706,Jean Pierre Goncalves Lima,"[{""player"": ""Alerrandro Barra Mansa Realino de Souza"", ""minute"": ""44'""}, {""player"": ""Aderlan de Lima Silva"", ""minute"": ""58'""}, {""player"": ""Ramon Ramos Lima"", ""minute"": ""83'""}]",[],[],"[{""player"": ""Andr\u00e9 Trindade da Costa Neto"", ""minute"": ""44'""}, {""player"": ""Yago Felipe da Costa Rocha"", ""minute"": ""45+4'""}]",[],"[{""player"": ""Germ\u00e1n Ezequiel Cano"", ""minute"": ""31'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3wpyanjdjwuypxfd5fe6b8yz8
Club Athletico Paranaense,Botafogo FR,3,0,13 de novembro de 2022 16:00,Arena da Baixada,19.336,Anderson Daronco,"[{""player"": ""Erick Luis Conrado Carvalho"", ""minute"": ""61'""}]",[],"[{""player"": ""Adryelson Shawann Lima Silva"", ""minute"": ""52'"", ""cont"": 1, ""penal"": 0}, {""player"": ""Vitor Hugo Roque Ferreira"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Erick Luis Conrado Carvalho"", ""minute"": ""90+4'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jos\u00e9 Antonio dos Santos J\u00fanior"", ""minute"": ""50'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3xh8z47rw8jbkclygeessb11w
América FC (Minas Gerais),Atlético Goianiense,1,1,13 de novembro de 2022 16:00,Estádio Raimundo Sampaio,5.005,Leandro Pedro Vuaden,"[{""player"": ""Alexandre Egea"", ""minute"": ""35'""}, {""player"": ""Everaldo Silva do Nascimento"", ""minute"": ""40'""}, {""player"": ""Airton Moraes Michellon"", ""minute"": ""90+6'""}]",[],"[{""player"": ""Henrique Almeida Caixeta Nascentes"", ""minute"": ""45+8'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jorge de Moura Xavier"", ""minute"": ""59'""}, {""player"": ""Eduardo Souza"", ""minute"": ""69'""}, {""player"": ""Edson Fernando da Silva Gomes"", ""minute"": ""85'""}]","[{""player"": ""Willian Marlon Ferreira Moraes"", ""minute"": ""39'""}]","[{""player"": ""Luis Eduardo Marques dos Santos"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3wiii5vxodhwcnv8w7t3acn4k
CR Flamengo,Avai FC,1,2,12 de novembro de 2022 16:00,Estádio Jornalista Mário Filho (Maracanã),63.077,Edina Alves Batista,[],[],"[{""player"": ""Wellington Ferreira Nascimento"", ""minute"": ""42'"", ""cont"": 1, ""penal"": 0}]","[{""player"": ""Lucas de Souza Ventura"", ""minute"": ""45'""}]",[],"[{""player"": ""M\u00e1rcio Ant\u00f4nio de Sousa J\u00fanior"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Felipe Flore\u0302ncio da Silva"", ""minute"": ""79'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2022/css9eoc46vca8gkmv5z7603ys/match/view/3wm9ppm37fwhucdcn2lvua5uc
