home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
CR Vasco da Gama,Red Bull Bragantino,2,1,6 de dezembro de 2023 21:30,São Januário,20.037,Wilton Pereira Sampaio,"[{""player"": ""Paulo Lucas Santos de Paula"", ""minute"": ""51'""}, {""player"": ""Gary Alexis Medel Soto"", ""minute"": ""84'""}, {""player"": ""Gabriel Fortes Chaves"", ""minute"": ""90+5'""}]",[],"[{""player"": ""Paulo Lucas Santos de Paula"", ""minute"": ""29'"", ""cont"": 0, ""penal"": 0}, {""player"": ""S\u00e9rgio Ant\u00f4nio da Luz J\u00fanior"", ""minute"": ""82'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Eduardo Colcenti Antunes"", ""minute"": ""17'""}]","[{""player"": ""Leonardo Javier Realpe Monta\u00f1o"", ""minute"": ""75'""}]","[{""player"": ""Leonardo Rech Ortiz"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dykfkagvqqndkwt56ph8meqz8
São Paulo FC,CR Flamengo,1,0,6 de dezembro de 2023 21:30,Morumbi,36.618,Caio Max Augusto Vieira,[],[],"[{""player"": ""Luciano da Rocha Neves"", ""minute"": ""26'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Pablo Nascimento Castro"", ""minute"": ""15'""}, {""player"": ""Victor Hugo Gomes Silva"", ""minute"": ""65'""}, {""player"": ""Allan Rodrigues de Souza"", ""minute"": ""79'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dytgvr7u14zo32xdmrttt8zdg
Santos FC Sao Paulo,Fortaleza EC,1,2,6 de dezembro de 2023 21:30,Vila Belmiro,14.130,Leandro Pedro Vuaden,"[{""player"": ""Jos\u00e9 Rodolfo Pires Ribeiro"", ""minute"": ""3'""}, {""player"": ""Gabriel de Souza Inoc\u00eancio"", ""minute"": ""52'""}]",[],"[{""player"": ""Messias Rodrigues da Silva J\u00fanior"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Tom\u00e1s Pochettino"", ""minute"": ""26'""}, {""player"": ""Jos\u00e9 Welison da Silva"", ""minute"": ""35'""}, {""player"": ""Glaybson Yago Souza Lisboa"", ""minute"": ""40'""}]",[],"[{""player"": ""M\u00e1rio S\u00e9rgio Santos Costa"", ""minute"": ""39'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Juan Mart\u00edn Lucero"", ""minute"": ""90+6'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dz2opfgxe4djuxi747wzk9v6c
SC Internacional,Botafogo FR,3,1,6 de dezembro de 2023 21:30,Beira-Rio,27.844,Flavio Rodrigues De Souza,"[{""player"": ""Pedro Henrique Konzen Medina da Silva"", ""minute"": ""54'""}]",[],"[{""player"": ""Enner Remberto Valencia Lastra"", ""minute"": ""19'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Alan Patrick Louren\u00e7o"", ""minute"": ""50'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Pedro Henrique Konzen Medina da Silva"", ""minute"": ""53'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Danilo Barbosa da Silva"", ""minute"": ""45+1'""}, {""player"": ""Matheus Nascimento de Paula"", ""minute"": ""90+2'""}]",[],"[{""player"": ""Janderson de Carvalho Costa"", ""minute"": ""47'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dzu67p0314lxzpvii3vcw8t90
Fluminense FC,Grêmio FB Porto Alegrense,2,3,6 de dezembro de 2023 21:30,Estádio Jornalista Mário Filho (Maracanã),43.286,Raphael Claus,"[{""player"": ""Andr\u00e9 Trindade da Costa Neto"", ""minute"": ""36'""}, {""player"": ""Marc\u00edlio Flor\u00eancio Mota Filho"", ""minute"": ""45+5'""}, {""player"": ""John Kennedy Batista de Souza"", ""minute"": ""72'""}]",[],"[{""player"": ""Jhon Adolfo Arias Andrade"", ""minute"": ""34'"", ""cont"": 0, ""penal"": 1}, {""player"": ""John Kennedy Batista de Souza"", ""minute"": ""81'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Rodrigo Ely"", ""minute"": ""32'""}, {""player"": ""Reinaldo Manoel da Silva"", ""minute"": ""36'""}, {""player"": ""Walter Kannemann"", ""minute"": ""45+4'""}]",[],"[{""player"": ""Luis Alberto Su\u00e1rez D\u00edaz"", ""minute"": ""43'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Everton Galdino Moreira"", ""minute"": ""45'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luis Alberto Su\u00e1rez D\u00edaz"", ""minute"": ""64'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dy9i5ogyxjn8uqyzsf4ijoahg
Cuiabá EC,Club Athletico Paranaense,3,0,6 de dezembro de 2023 21:30,Arena Pantanal,9.689,Paulo Belence Alves dos Prazeres Filho,"[{""player"": ""Fernando Pereira do Nascimento"", ""minute"": ""52'""}, {""player"": ""Clayson Henrique da Silva Vieira"", ""minute"": ""69'""}, {""player"": ""Jonathan Renato Barbosa"", ""minute"": ""70'""}, {""player"": ""Ant\u00f3nio Oliveira"", ""minute"": ""90+6'""}]",[],"[{""player"": ""Clayson Henrique da Silva Vieira"", ""minute"": ""13'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Derik Gean Severino Lacerda"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Clayson Henrique da Silva Vieira"", ""minute"": ""90+6'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Madson Ferreira dos Santos"", ""minute"": ""45+6'""}, {""player"": ""Tom\u00e1s Esteban Cuello"", ""minute"": ""90+1'""}, {""player"": ""Lucas Belezi Barbosa"", ""minute"": ""90+5'""}]",[],[],"[{""player"": ""Clayson Henrique da Silva Vieira"", ""minute"": ""90+8'""}]",[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/e0lspoqwbewhiwqp0rsziu8t0
Cruzeiro EC,SE Palmeiras,1,1,6 de dezembro de 2023 21:30,Mineirão,44.190,Anderson Daronco,"[{""player"": ""Lucas Silva Borges"", ""minute"": ""72'""}]",[],"[{""player"": ""Maycon Vin\u00edcius Ferreira da Cruz"", ""minute"": ""80'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Richard R\u00edos Montoya"", ""minute"": ""64'""}]",[],"[{""player"": ""Endrick Felipe Moreira de Sousa"", ""minute"": ""21'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dzl0fck001tje792d0c6kaoes
Coritiba FBC,SC Corinthians Paulista,0,2,6 de dezembro de 2023 21:30,Couto Pereira,No data,Jonathan Benkenstein Pinheiro,"[{""player"": ""Lucas Ronier Vieira Pires"", ""minute"": ""77'""}]",[],[],[],[],"[{""player"": ""Fausto Mariano Vera"", ""minute"": ""11'"", ""cont"": 0, ""penal"": 0}, {""player"": ""\u00c1ngel Rodrigo Romero Villamayor"", ""minute"": ""21'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/e03d0e98u6c89udsvyasew6c4
EC Bahia,Clube Atlético Mineiro,4,1,6 de dezembro de 2023 21:30,Arena Fonte Nova,27.743,Ramon Abatti,"[{""player"": ""Vitor Hugo Franchescoli de Souza"", ""minute"": ""61'""}, {""player"": ""Ademir da Silva Santos J\u00fanior"", ""minute"": ""90+4'""}]",[],"[{""player"": ""Cauly Oliveira Souza"", ""minute"": ""11'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luciano Batista da Silva J\u00fanior"", ""minute"": ""45+7'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Thaciano Mickael da Silva"", ""minute"": ""67'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ademir da Silva Santos J\u00fanior"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Rubens Ant\u00f4nio Dias"", ""minute"": ""58'""}, {""player"": ""Paulo Henrique Sampaio Filho"", ""minute"": ""85'""}]",[],"[{""player"": ""Paulo Henrique Sampaio Filho"", ""minute"": ""36'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/e0cl3kbryzrmwqfu1akdlbx90
Goiás EC,América FC (Minas Gerais),1,0,6 de dezembro de 2023 19:00,Estádio Hailé Pinheiro (Serrinha),1.966,Davi de Oliveira Lacerda,"[{""player"": ""Eduardo Simioni"", ""minute"": ""69'""}, {""player"": ""Willian Osmar de Oliveira Silva"", ""minute"": ""74'""}]",[],"[{""player"": ""Lu\u00eds Felipe Oyama"", ""minute"": ""33'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Adyson do Nascimento Soares"", ""minute"": ""57'""}, {""player"": ""Breno Cascardo Lemos"", ""minute"": ""87'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2023/czjx4rda7swlzql5d1cq90r8/match/view/dzbrqnbbd7m02mh0cltepmi38
