home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
SC do Recife,Club Athletico Paranaense,1,1,9 de dezembro de 2021 21:30,Itaipava Arena Pernambuco,4.215,Ramon Abatti,"[{""player"": ""Everton Felipe de Oliveira Silva"", ""minute"": ""15'""}]",[],"[{""player"": ""Mikael Filipe Viana de Sousa"", ""minute"": ""28'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""M\u00e1rcio Gonzaga de Azevedo"", ""minute"": ""56'""}]",[],"[{""player"": ""Khellven Douglas Silva Oliveira"", ""minute"": ""43'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6w7vvsom7k0povowgmu6d7o4
Santos FC Sao Paulo,Cuiabá EC,1,1,9 de dezembro de 2021 21:30,Vila Belmiro,12.444,Wagner do Nascimento Magalhaes,"[{""player"": ""Vinicius Nelson de Souza Zanocelo"", ""minute"": ""66'""}]",[],"[{""player"": ""Lucas Braga Ribeiro"", ""minute"": ""75'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Walter Leandro Capeloza Artune"", ""minute"": ""72'""}, {""player"": ""Jo\u00e3o Pedro Vilardi Pinto"", ""minute"": ""81'""}]",[],"[{""player"": ""Marllon Gon\u00e7alves Jer\u00f4nimo Borges"", ""minute"": ""16'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6k94c8hll8yvgdyu3nz3tvys
SE Palmeiras,Ceará SC,1,0,9 de dezembro de 2021 21:30,Arena Barueri,5.304,Sávio Pereira Sampaio,"[{""player"": ""Vitor Hugo Ferreira Oliveira"", ""minute"": ""55'""}, {""player"": ""Gabriel Silva Vieira"", ""minute"": ""76'""}]",[],"[{""player"": ""Kevin Santos Lopes de Macedo"", ""minute"": ""42'"", ""cont"": 0, ""penal"": 0}]",[],[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6h2l1atrsegbew4dqq1flvkk
EC Juventude,SC Corinthians Paulista,1,0,9 de dezembro de 2021 21:30,Alfredo Jaconi,17.056,Rodolpho Toski Marques,"[{""player"": ""Guilherme Oliveira Santos"", ""minute"": ""84'""}]",[],"[{""player"": ""Francisco Hyun-Sol Kim"", ""minute"": ""83'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Carlos Gilberto do Nascimento Silva"", ""minute"": ""40'""}, {""player"": ""Roni Medeiros de Moura"", ""minute"": ""90'""}]","[{""player"": ""F\u00e1gner Conserva Lemos"", ""minute"": ""90+1'""}]",[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e71wrqxl7rdp6wc93apxoixhw
Grêmio FB Porto Alegrense,Clube Atlético Mineiro,4,3,9 de dezembro de 2021 21:30,Arena do Grêmio,33.577,Raphael Claus,"[{""player"": ""Thiago dos Santos"", ""minute"": ""37'""}, {""player"": ""Douglas Costa de Souza"", ""minute"": ""42'""}, {""player"": ""Diogo Barbosa Mendanha"", ""minute"": ""71'""}]",[],"[{""player"": ""Diego de Souza Andrade"", ""minute"": ""6'"", ""cont"": 0, ""penal"": 0}, {""player"": ""J\u00e1minton Leandro Campaz"", ""minute"": ""11'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Diego de Souza Andrade"", ""minute"": ""20'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Douglas Costa de Souza"", ""minute"": ""59'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Dylan Felipe Borrero Caicedo"", ""minute"": ""62'""}]",[],"[{""player"": ""Jos\u00e9 Rodolfo Pires Ribeiro"", ""minute"": ""26'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Eduardo Jes\u00fas Vargas Rojas"", ""minute"": ""35'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Hyoran Kau\u00ea Dalmoro"", ""minute"": ""90+1'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6qin9hmk60yt2szwelpms8wk
Fortaleza EC,EC Bahia,2,1,9 de dezembro de 2021 21:30,Castelão,51.125,Flavio Rodrigues De Souza,"[{""player"": ""Marcelo Boeck"", ""minute"": ""20'""}, {""player"": ""Matheus de Vargas"", ""minute"": ""43'""}, {""player"": ""Glaybson Yago Souza Lisboa"", ""minute"": ""80'""}, {""player"": ""Osvaldo Louren\u00e7o Filho"", ""minute"": ""81'""}]",[],"[{""player"": ""Wellington Pereira do Nascimento"", ""minute"": ""45+7'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Glaybson Yago Souza Lisboa"", ""minute"": ""78'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Ra\u00ed Nascimento de Oliveira"", ""minute"": ""28'""}, {""player"": ""Germ\u00e1n Andr\u00e9s Conti"", ""minute"": ""77'""}]",[],"[{""player"": ""Rodrigo Eduardo Costa Marinho"", ""minute"": ""25'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6tbbzske8luc2lfkt7150f84
Fluminense FC,Chapecoense AF,3,0,9 de dezembro de 2021 21:30,Estádio Jornalista Mário Filho (Maracanã),48.198,Leandro Pedro Vuaden,"[{""player"": ""David Braz de Oliveira Filho"", ""minute"": ""45+2'""}, {""player"": ""Matheus Martins Silva dos Santos"", ""minute"": ""49'""}, {""player"": ""Abel Math\u00edas Hern\u00e1ndez Platero"", ""minute"": ""90+3'""}]",[],"[{""player"": ""David Braz de Oliveira Filho"", ""minute"": ""49'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Luiz Henrique Andr\u00e9 Rosa da Silva"", ""minute"": ""59'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Abel Math\u00edas Hern\u00e1ndez Platero"", ""minute"": ""90+1'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Ign\u00e1cio da Silva Oliveira"", ""minute"": ""5'""}, {""player"": ""Ronei Gebing"", ""minute"": ""45+2'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6brmcoeww6aiquiablmzgavo
Red Bull Bragantino,SC Internacional,1,0,9 de dezembro de 2021 21:30,Nabizão,5.339,Braulio da Silva Machado,"[{""player"": ""Jadsom Meemyas de Oliveira da Silva"", ""minute"": ""59'""}, {""player"": ""Leonardo Rech Ortiz"", ""minute"": ""83'""}, {""player"": ""Fabr\u00edcio Bruno Soares de Faria"", ""minute"": ""90+2'""}, {""player"": ""Artur Victor Guimar\u00e3es"", ""minute"": ""90+3'""}]",[],"[{""player"": ""Artur Victor Guimar\u00e3es"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Renzo Saravia"", ""minute"": ""43'""}, {""player"": ""Carlos Alonso Enrique Palacios N\u00fa\u00f1ez"", ""minute"": ""45+3'""}, {""player"": ""V\u00edctor Leandro Cuesta"", ""minute"": ""45+5'""}, {""player"": ""Yuri Alberto Monteiro da Silva"", ""minute"": ""69'""}, {""player"": ""Mois\u00e9s Roberto Barbosa"", ""minute"": ""82'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6z3ctqzw61kb36x5erbz6cyc
Atlético Goianiense,CR Flamengo,2,0,9 de dezembro de 2021 21:30,Estádio Antônio Accioly,11.728,Paulo Roberto Alves Júnior,"[{""player"": ""Willian Marlon Ferreira Moraes"", ""minute"": ""18'""}, {""player"": ""Lucas da Cruz Oliveira"", ""minute"": ""52'""}, {""player"": ""Rickson Barbosa S\u00e1 da Concei\u00e7\u00e3o"", ""minute"": ""73'""}, {""player"": ""Marlon Rodrigues de Freitas"", ""minute"": ""74'""}]",[],"[{""player"": ""Lucas Gabriel Ribeiro Firmo"", ""minute"": ""82'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jonas Gabriel da Silva Nunes"", ""minute"": ""90+2'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Leonardo Pereira"", ""minute"": ""15'""}, {""player"": ""Robert Ayrton Piris Da Motta Mendoza"", ""minute"": ""33'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e74rfwz7d46xuhquen4fif8d0
América FC (Minas Gerais),São Paulo FC,2,0,9 de dezembro de 2021 21:30,Estádio Raimundo Sampaio,9.484,Caio Max Augusto Vieira,"[{""player"": ""Jos\u00e9 Ricardo Barbosa Ribeiro Drumond"", ""minute"": ""28'""}, {""player"": ""Marquinhos Santos"", ""minute"": ""45'""}, {""player"": ""Ricardo C\u00e9sar Dantas da Silva"", ""minute"": ""45+5'""}]",[],"[{""player"": ""Ademir da Silva Santos J\u00fanior"", ""minute"": ""58'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Ademir da Silva Santos J\u00fanior"", ""minute"": ""62'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Diego Henrique Costa Barbosa"", ""minute"": ""45+4'""}, {""player"": ""Gabriel Neves Perdomo"", ""minute"": ""78'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2021/cmto2xdcdarka1b708ac99jx0/match/view/e6nrosue8esx02v73z7wdtdec
