home_team,away_team,home_team_score,away_team_score,game_date,stadium,public,ref,yellow_cards_home,red_cards_home,gols_home,yellow_cards_away,red_cards_away,gols_away,sec_card_home,sec_card_away,link
Fluminense FC,Clube Atlético Mineiro,0,0,10 de fevereiro de 2021 21:30,Estádio Jornalista Mário Filho (Maracanã),No data,Luiz Flávio de Oliveira,[],[],[],"[{""player"": ""Allan Rodrigues de Souza"", ""minute"": ""82'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/56pg1sdslvfbkx5r30sdhcd4a
SC Corinthians Paulista,Club Athletico Paranaense,3,3,10 de fevereiro de 2021 21:30,Neo Química Arena,No data,Jean Pierre Goncalves Lima,"[{""player"": ""Gabriel Girotto Franco"", ""minute"": ""19'""}, {""player"": ""F\u00e1bio Santos Romeu"", ""minute"": ""61'""}, {""player"": ""Mateus da Silva Vital Assump\u00e7\u00e3o"", ""minute"": ""68'""}]",[],"[{""player"": ""Gustavo Henric da Silva"", ""minute"": ""3'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Girotto Franco"", ""minute"": ""18'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gustavo Henric da Silva"", ""minute"": ""56'"", ""cont"": 0, ""penal"": 0}]",[],[],"[{""player"": ""Abner Vin\u00edcius da Silva Santos"", ""minute"": ""14'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Fernando Canesin Matos"", ""minute"": ""35'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Vitor Hugo Naum dos Santos"", ""minute"": ""73'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/57bq63vzu3or6y812k56wd1t6
São Paulo FC,Ceará SC,1,1,10 de fevereiro de 2021 21:00,Morumbi,No data,Sávio Pereira Sampaio,"[{""player"": ""Pablo Felipe Teixeira"", ""minute"": ""23'""}, {""player"": ""Igor Silveira Gomes"", ""minute"": ""49'""}, {""player"": ""Juan Francisco Torres Bel\u00e9n"", ""minute"": ""67'""}, {""player"": ""Jonas Gabriel da Silva Nunes"", ""minute"": ""90+10'""}]",[],"[{""player"": ""Luciano da Rocha Neves"", ""minute"": ""90+6'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Samuel Xavier Brito"", ""minute"": ""21'""}, {""player"": ""Charles Rigon Matos"", ""minute"": ""63'""}, {""player"": ""Tiago Pagnussat"", ""minute"": ""71'""}, {""player"": ""Guto Ferreira"", ""minute"": ""75'""}, {""player"": ""Fernando Pereira do Nascimento"", ""minute"": ""82'""}]",[],"[{""player"": ""Leonardo Alves Ch\u00fa Franco"", ""minute"": ""90+3'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/57i18adv7wg1rvdl9vcxa0wh6
Fortaleza EC,CR Vasco da Gama,3,0,10 de fevereiro de 2021 19:15,Castelão,No data,Braulio da Silva Machado,"[{""player"": ""Gabriel Dias de Oliveira"", ""minute"": ""66'""}, {""player"": ""Paulo Roberto Valoura J\u00fanior"", ""minute"": ""77'""}]",[],"[{""player"": ""Igor Torres da Silva"", ""minute"": ""6'"", ""cont"": 0, ""penal"": 0}, {""player"": ""David Corr\u00eaa da Fonseca"", ""minute"": ""43'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jos\u00e9 Rom\u00e1rio Silva de Souza"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Marcelo Alves Santos"", ""minute"": ""31'""}, {""player"": ""Leandro Cast\u00e1n da Silva"", ""minute"": ""60'""}, {""player"": ""Vanderlei Luxemburgo da Silva"", ""minute"": ""61'""}, {""player"": ""Cayo Henrique Nascimento Ferreira"", ""minute"": ""75'""}]",[],[],[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/566w7qj9hllhax3qq134dvgiy
SC Internacional,SC do Recife,1,2,10 de fevereiro de 2021 19:00,Beira-Rio,No data,Rodolpho Toski Marques,"[{""player"": ""Leandro Miguel Fern\u00e1ndez"", ""minute"": ""52'""}, {""player"": ""Patrick Bezerra do Nascimento"", ""minute"": ""60'""}]","[{""player"": ""Uendel Pereira Gon\u00e7alves"", ""minute"": ""26'""}, {""player"": ""Jos\u00e9 Gabriel dos Santos Silva"", ""minute"": ""39'""}]","[{""player"": ""Patrick Bezerra do Nascimento"", ""minute"": ""41'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Patric Cabral Lalau"", ""minute"": ""31'""}, {""player"": ""Jair Zaksauskas Ribeiro Ventura"", ""minute"": ""39'""}, {""player"": ""Marcos Vin\u00edcius Sousa Natividade"", ""minute"": ""44'""}, {""player"": ""Luan Polli Gomes"", ""minute"": ""90+2'""}]",[],"[{""player"": ""Marcos Ant\u00f4nio Almeida Silva"", ""minute"": ""38'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Dalberto Luan Belo"", ""minute"": ""45+5'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/574en5cvld0vcn9fit3qowui2
Botafogo FR,Grêmio FB Porto Alegrense,2,5,8 de fevereiro de 2021 20:00,Estádio Nilton Santos,No data,Rodrigo D'Alonso Ferreira,[],[],"[{""player"": ""Rafael Navarro Leal"", ""minute"": ""56'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Matheus Barcelos da Silva"", ""minute"": ""82'"", ""cont"": 0, ""penal"": 0}]",[],[],"[{""player"": ""Alisson Euler de Freitas Castro"", ""minute"": ""7'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jean Pyerre Casagrande Silveira Corr\u00eaa"", ""minute"": ""17'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Diego Chur\u00edn Puyo"", ""minute"": ""54'"", ""cont"": 0, ""penal"": 1}, {""player"": ""Matheus Henrique de Souza"", ""minute"": ""74'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Matheus Henrique de Souza"", ""minute"": ""78'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/56vdzg7xdcsxl7jh1nixgvlgq
Red Bull Bragantino,CR Flamengo,1,1,7 de fevereiro de 2021 20:30,Nabizão,No data,Wilton Pereira Sampaio,"[{""player"": ""Raul L\u00f4 Gon\u00e7alves"", ""minute"": ""2'""}, {""player"": ""Aderlan de Lima Silva"", ""minute"": ""47'""}, {""player"": ""Maur\u00edcio Barbieri"", ""minute"": ""49'""}, {""player"": ""Edimar Curitiba Fraga"", ""minute"": ""81'""}, {""player"": ""Jan Carlos Hurtado Anchico"", ""minute"": ""90+2'""}]",[],"[{""player"": ""Ytalo Jos\u00e9 Oliveira dos Santos"", ""minute"": ""63'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Ren\u00ea Rodrigues Martins"", ""minute"": ""13'""}, {""player"": ""Jo\u00e3o Victor Gomes da Silva"", ""minute"": ""65'""}]",[],"[{""player"": ""Gabriel Barbosa Almeida"", ""minute"": ""35'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/560pa7cbqknax1dro0tyop4dm
Atlético Goianiense,Santos FC Sao Paulo,1,1,6 de fevereiro de 2021 21:00,Estádio Antônio Accioly,No data,Marcelo de Lima Henrique,"[{""player"": ""\u00c9der Ferreira Graminho"", ""minute"": ""78'""}, {""player"": ""Jo\u00e3o Victor da Silva Marcelino"", ""minute"": ""90+4'""}]","[{""player"": ""Matheus de Vargas"", ""minute"": ""63'""}]","[{""player"": ""Jean Paulo Fernandes Filho"", ""minute"": ""33'"", ""cont"": 0, ""penal"": 1}]","[{""player"": ""Alison Lopes Ferreira"", ""minute"": ""45+2'""}, {""player"": ""Felipe Jonatan Rocha Andrade"", ""minute"": ""90+4'""}]",[],"[{""player"": ""Marcos Leonardo Santos Almeida"", ""minute"": ""79'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/56k0mamfbtzjwf3b8l9h8qgkq
EC Bahia,Goiás EC,3,3,6 de fevereiro de 2021 19:00,Arena Fonte Nova,No data,Rafael Traci,"[{""player"": ""Rosicley Pereira da Silva"", ""minute"": ""56'""}, {""player"": ""Severino do Ramo Clementino da Silva"", ""minute"": ""77'""}, {""player"": ""Gregore de Magalh\u00e3es Silva Favero"", ""minute"": ""90+2'""}]","[{""player"": ""Daniel Sampaio Sim\u00f5es"", ""minute"": ""66'""}]","[{""player"": ""Gilberto Oliveira Souza J\u00fanior"", ""minute"": ""26'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Gabriel Novaes Fernandes"", ""minute"": ""45+3'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Alesson dos Santos Batista"", ""minute"": ""79'"", ""cont"": 0, ""penal"": 0}]","[{""player"": ""Jefferson Junio Ant\u00f4nio da Silva"", ""minute"": ""39'""}, {""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""70'""}, {""player"": ""Taylon Vinicius dos Santos Carvalho"", ""minute"": ""76'""}, {""player"": ""Alejandro Ariel Cabral"", ""minute"": ""87'""}]",[],"[{""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""19'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Vin\u00edcius Lopes da Silva"", ""minute"": ""49'"", ""cont"": 0, ""penal"": 0}, {""player"": ""Jos\u00e9 Fernando Viana de Santana"", ""minute"": ""90+5'"", ""cont"": 0, ""penal"": 0}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/57ppar6ixirv17xigqcds65pm
Botafogo FR,SC do Recife,0,1,5 de fevereiro de 2021 20:00,Estádio Nilton Santos,No data,Luiz Flávio de Oliveira,"[{""player"": ""Jos\u00e9 Welison da Silva"", ""minute"": ""45+1'""}]",[],[],"[{""player"": ""Roberto Pimenta Vinagre Filho"", ""minute"": ""32'""}, {""player"": ""Ewerthon Di\u00f3genes da Silva"", ""minute"": ""53'""}, {""player"": ""Raul Prata"", ""minute"": ""86'""}]",[],"[{""player"": ""Iago Justen Maidana Martins"", ""minute"": ""24'"", ""cont"": 0, ""penal"": 1}]",[],[],https://optaplayerstats.statsperform.com/pt_BR/soccer/brasileir%C3%A3o-s%C3%A9rie-a-2020/1ruuku31y4hamxz48qnbvwfoq/match/view/55bk07hyhm8s9v0pk4z2elhm2
